Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-21;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;9443;Barrenderos y afines;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9700;Peones de las industrias manufactureras
ene-21;Mujer;Ciudad Lineal;Entre 26 y 35 años;Extracomunitaria;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Hombre;Centro;Entre 46 y 55 años;Española;4424;Teleoperadores;4424;Teleoperadores;5825;Guías de turismo
ene-21;Mujer;Latina;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;2511;Abogados;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Hombre;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;4411;Empleados de información al usuario;5120;Camareros asalariados
ene-21;Mujer;Ciudad Lineal;Entre 36 y 45 años;Española;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Hombre;Puente De Vallecas;Entre 26 y 35 años;Española;3820;Programadores informáticos;3814;Técnicos de la Web;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Hombre;Arganzuela;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;2623;Especialistas de la Administración Pública;;
ene-21;Hombre;Moratalaz;Entre 56 y 65 años;Española;5811;Peluqueros;8333;Operadores de carretillas elevadoras;9442;Clasificadores de desechos, operarios de punto limpio y recogedores de chatarra
ene-21;Mujer;San Blas;Menor de 25 años;Española;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;5722;Cuidadores de niños en domicilios
ene-21;Mujer;Latina;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos);9820;Reponedores
ene-21;Hombre;San Blas;Entre 36 y 45 años;Española;7521;Mecánicos y reparadores de equipos eléctricos;8412;Conductores asalariados de automóviles, taxis y furgonetas;7531;Mecánicos y reparadores de equipos electrónicos
ene-21;Mujer;Hortaleza;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5120;Camareros asalariados;;
ene-21;Mujer;Otro Municipio;Entre 46 y 55 años;Extracomunitaria;4412;Recepcionistas (excepto de hoteles);4411;Empleados de información al usuario;4421;Empleados de agencias de viajes
ene-21;Hombre;Usera;Menor de 25 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;3812;Técnicos en asistencia al usuario de tecnologías de la información;9820;Reponedores
ene-21;Hombre;Retiro;Menor de 25 años;Española;2156;Terapeutas ocupacionales;;;;
ene-21;Hombre;Puente De Vallecas;Entre 26 y 35 años;Comunitaria;7322;Trabajadores de la fabricación de herramientas, mecánico-ajustadores, modelistas, matriceros y afines;7132;Instaladores de cerramientos metálicos y carpinteros metálicos (excepto montadores de estructuras metálicas);7314;Montadores de estructuras metálicas
ene-21;Mujer;Carabanchel;Menor de 25 años;Española;;;;;;
ene-21;Mujer;Otro Municipio;Menor de 25 años;Extracomunitaria;9820;Reponedores;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos)
ene-21;Hombre;Fuencarral-el Pardo;Entre 36 y 45 años;Española;;;;;;
ene-21;Mujer;Villaverde;Entre 36 y 45 años;Extracomunitaria;5722;Cuidadores de niños en domicilios;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos
ene-21;Hombre;Latina;Entre 36 y 45 años;Española;2821;Sociólogos, geógrafos, antropólogos, arqueólogos y afines;2821;Sociólogos, geógrafos, antropólogos, arqueólogos y afines;2230;Profesores de enseñanza secundaria (excepto materias específicas de formación profesional)
ene-21;Mujer;Tetuán;Entre 46 y 55 años;Española;5110;Cocineros asalariados;;;;
ene-21;Mujer;Carabanchel;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
