,Fecha de Inscripción,Género,Distrito,Tramos de Edad,Nacionalidad,Objetivo Profesional 1
1,ene-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Extracomunitaria,Ayudantes de cocina
3,ene-21,Mujer,Latina,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
5,ene-21,Mujer,Ciudad Lineal,Entre 36 y 45 años,Española,Ayudantes de cocina
6,ene-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Española,Programadores informáticos
7,ene-21,Hombre,Arganzuela,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
8,ene-21,Hombre,Moratalaz,Entre 56 y 65 años,Española,Peluqueros
10,ene-21,Mujer,Latina,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
11,ene-21,Hombre,San Blas,Entre 36 y 45 años,Española,Mecánicos y reparadores de equipos eléctricos
12,ene-21,Mujer,Hortaleza,Menor de 25 años,Española,Vendedores en tiendas y almacenes
16,ene-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Comunitaria,"Trabajadores de la fabricación de herramientas, mecánico-ajustadores, modelistas, matriceros y afines"
23,ene-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
25,ene-21,Mujer,Retiro,Entre 26 y 35 años,Española,Técnicos en laboratorio de diagnóstico clínico
27,ene-21,Mujer,Hortaleza,Menor de 25 años,Española,Vendedores en tiendas y almacenes
32,ene-21,Mujer,Latina,Entre 46 y 55 años,Española,Empleados de agencias de viajes
39,ene-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Peluqueros
40,ene-21,Mujer,Latina,Entre 56 y 65 años,Comunitaria,Vendedores en tiendas y almacenes
44,ene-21,Hombre,Fuencarral-el Pardo,Entre 36 y 45 años,Española,Empleados de contabilidad
49,ene-21,Mujer,Usera,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
54,ene-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
55,ene-21,Mujer,San Blas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
58,ene-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
65,ene-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
71,ene-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
74,ene-21,Mujer,Latina,Menor de 25 años,Española,Asistentes de dirección y administrativos
77,ene-21,Mujer,Retiro,Entre 26 y 35 años,Extracomunitaria,Empleados de contabilidad
80,ene-21,Hombre,Otro Municipio,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
83,ene-21,Mujer,Vicálvaro,Menor de 25 años,Española,Asistentes de dirección y administrativos
87,ene-21,Mujer,Latina,Entre 26 y 35 años,Española,Empleados de control de personal y nóminas
91,ene-21,Mujer,Latina,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
102,ene-21,Hombre,Latina,Entre 36 y 45 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
107,ene-21,Hombre,Vicálvaro,Menor de 25 años,Extracomunitaria,Ayudantes de cocina
109,ene-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
110,ene-21,Mujer,Fuencarral-el Pardo,Entre 36 y 45 años,Española,Ingenieros agrónomos
118,ene-21,Mujer,Chamartín,Entre 36 y 45 años,Española,Ayudantes de cocina
123,ene-21,Hombre,Otro Municipio,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
132,ene-21,Mujer,Chamberí,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
138,ene-21,Mujer,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
140,ene-21,Mujer,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
142,ene-21,Hombre,Hortaleza,Entre 46 y 55 años,Española,Mantenedores de edificios
146,ene-21,Mujer,Arganzuela,Menor de 25 años,Española,Preparadores de comidas rápidas
147,ene-21,Hombre,Moncloa-aravaca,Entre 36 y 45 años,Española,Técnicos de grabación audiovisual
148,ene-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
150,ene-21,Hombre,Fuencarral-el Pardo,Entre 36 y 45 años,Española,Diseñadores gráficos y multimedia
151,ene-21,Mujer,Moncloa-aravaca,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
152,ene-21,Mujer,Carabanchel,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
153,ene-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Bañistas-socorristas
154,ene-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Extracomunitaria,"Especialistas en tratamientos de estética, bienestar y afines"
155,ene-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
156,ene-21,Mujer,Carabanchel,Menor de 25 años,Española,Operadores de telemarketing
157,ene-21,Hombre,Centro,Entre 26 y 35 años,Extracomunitaria,Bañistas-socorristas
158,ene-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,Técnicos de emergencias sanitarias
160,ene-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Española,Empleados de agencias de viajes
163,ene-21,Hombre,Tetuán,Entre 46 y 55 años,Española,Diseñadores gráficos y multimedia
164,ene-21,Mujer,Arganzuela,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
167,ene-21,Mujer,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
170,ene-21,Hombre,Moncloa-aravaca,Menor de 25 años,Española,Asistentes de dirección y administrativos
177,ene-21,Mujer,Otro Municipio,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
179,ene-21,Mujer,Hortaleza,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
180,ene-21,Mujer,Moratalaz,Menor de 25 años,Española,Técnicos en laboratorio de diagnóstico clínico
181,ene-21,Hombre,Carabanchel,Entre 36 y 45 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
183,ene-21,Hombre,Villaverde,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
191,ene-21,Hombre,Villaverde,Menor de 25 años,Extracomunitaria,Limpiadores de vehículos
192,ene-21,Mujer,Vicálvaro,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
195,ene-21,Mujer,Otro Municipio,Entre 26 y 35 años,Extracomunitaria,Recepcionistas de hoteles
197,ene-21,Hombre,Villa De Vallecas,Menor de 25 años,Española,Montadores y ensambladores no clasificados en otros epígrafes
203,ene-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
204,ene-21,Hombre,Otro Municipio,Entre 46 y 55 años,Extracomunitaria,Vendedores en tiendas y almacenes
205,ene-21,Hombre,Chamartín,Entre 46 y 55 años,Española,Profesionales de la publicidad y la comercialización
206,ene-21,Mujer,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Ingenieros técnicos industriales y de producción
209,ene-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Comunitaria,Encofradores y operarios de puesta en obra de hormigón
212,ene-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
216,ene-21,Mujer,Usera,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
218,ene-21,Hombre,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Matarifes y trabajadores de las industrias cárnicas
223,ene-21,Hombre,Hortaleza,Entre 46 y 55 años,Extracomunitaria,Peluqueros
224,ene-21,Mujer,Villaverde,Menor de 25 años,Española,Vendedores en tiendas y almacenes
226,ene-21,Mujer,Tetuán,Entre 36 y 45 años,Española,Ayudantes de cocina
228,ene-21,Hombre,Carabanchel,Entre 46 y 55 años,Española,"Técnicos en electrónica, especialidad en electromedicina"
233,ene-21,Mujer,Usera,Entre 46 y 55 años,Española,Peluqueros
235,ene-21,Mujer,Retiro,Entre 36 y 45 años,Extracomunitaria,"Directores y gerentes de bares, cafeterías y similares"
238,ene-21,Hombre,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
239,ene-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,"Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías"
243,ene-21,Hombre,Puente De Vallecas,Menor de 25 años,Extracomunitaria,Mecánicos y reparadores de equipos eléctricos
255,ene-21,Mujer,Vicálvaro,Entre 26 y 35 años,Española,Auxiliares de enfermería hospitalaria
256,ene-21,Mujer,Latina,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
261,ene-21,Mujer,Hortaleza,Entre 26 y 35 años,Comunitaria,Vendedores en tiendas y almacenes
264,ene-21,Mujer,Latina,Entre 36 y 45 años,Española,Técnicos de emergencias sanitarias
271,ene-21,Mujer,Carabanchel,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
275,ene-21,Hombre,Otro Municipio,Entre 36 y 45 años,Española,Ingenieros técnicos industriales y de producción
277,ene-21,Hombre,Ciudad Lineal,Entre 56 y 65 años,Española,"Directores y gerentes de bares, cafeterías y similares"
287,ene-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Operadores de telemarketing
292,ene-21,Mujer,Vicálvaro,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
301,ene-21,Mujer,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
302,ene-21,Mujer,Usera,Menor de 25 años,Española,Diseñadores gráficos y multimedia
307,ene-21,Mujer,Carabanchel,Entre 46 y 55 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
313,ene-21,Hombre,Tetuán,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
318,ene-21,Hombre,Latina,Entre 56 y 65 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
327,ene-21,Hombre,Vicálvaro,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
330,ene-21,Mujer,Vicálvaro,Entre 46 y 55 años,Española,Operadores de telemarketing
335,ene-21,Mujer,Vicálvaro,Entre 46 y 55 años,Española,Ayudantes de cocina
346,ene-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
352,ene-21,Mujer,Carabanchel,Menor de 25 años,Extracomunitaria,Ayudantes de cocina
355,ene-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
362,ene-21,Mujer,Vicálvaro,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
364,ene-21,Mujer,Ciudad Lineal,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
367,ene-21,Mujer,Otro Municipio,Menor de 25 años,Española,Vendedores en tiendas y almacenes
371,ene-21,Hombre,Centro,Entre 46 y 55 años,Extracomunitaria,Ayudantes de cocina
374,ene-21,Hombre,Puente De Vallecas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
380,ene-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
381,ene-21,Hombre,Chamberí,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
382,ene-21,Hombre,Latina,Menor de 25 años,Española,Operadores de telemarketing
392,ene-21,Hombre,Puente De Vallecas,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
397,ene-21,Mujer,Hortaleza,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
398,ene-21,Mujer,Salamanca,Entre 26 y 35 años,Española,Peluqueros
400,ene-21,Mujer,Villaverde,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
406,ene-21,Mujer,Usera,Entre 36 y 45 años,Española,Ayudantes de cocina
417,ene-21,Hombre,Barajas,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
419,ene-21,Mujer,Chamartín,Menor de 25 años,Española,Asistentes de dirección y administrativos
420,ene-21,Mujer,Ciudad Lineal,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
423,ene-21,Hombre,San Blas,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
429,ene-21,Mujer,Vicálvaro,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
434,ene-21,Hombre,Latina,Entre 26 y 35 años,Extracomunitaria,Mantenedores de edificios
446,ene-21,Hombre,Arganzuela,Menor de 25 años,Española,Técnicos de grabación audiovisual
450,ene-21,Mujer,Moncloa-aravaca,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
451,ene-21,Mujer,Centro,Entre 36 y 45 años,Extracomunitaria,Profesionales de la publicidad y la comercialización
454,ene-21,Mujer,Moratalaz,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
462,ene-21,Mujer,Latina,Entre 36 y 45 años,Española,Ayudantes de cocina
463,ene-21,Mujer,Chamberí,Entre 46 y 55 años,Española,Empleados de control de personal y nóminas
469,ene-21,Mujer,Puente De Vallecas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
471,ene-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Extracomunitaria,Asistentes de dirección y administrativos
488,ene-21,Hombre,Retiro,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
490,ene-21,Hombre,Puente De Vallecas,Mayor de 65 años,Española,Mantenedores de edificios
501,ene-21,Mujer,Barajas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
509,ene-21,Mujer,San Blas,Entre 26 y 35 años,Española,Auxiliares de enfermería hospitalaria
511,ene-21,Mujer,Retiro,Menor de 25 años,Española,Vendedores en tiendas y almacenes
512,ene-21,Mujer,San Blas,Menor de 25 años,Extracomunitaria,Peluqueros
513,ene-21,Mujer,Moncloa-aravaca,Menor de 25 años,Española,Vendedores en tiendas y almacenes
516,ene-21,Hombre,Moncloa-aravaca,Entre 26 y 35 años,Extracomunitaria,Peluqueros
524,feb-21,Hombre,Latina,Entre 26 y 35 años,Extracomunitaria,Ayudantes de cocina
528,feb-21,Mujer,Arganzuela,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
533,ene-21,Hombre,Usera,Entre 26 y 35 años,Extracomunitaria,Bañistas-socorristas
534,feb-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
538,ene-21,Mujer,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
540,feb-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
541,feb-21,Mujer,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
545,feb-21,Hombre,Tetuán,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
549,feb-21,Mujer,Arganzuela,Entre 46 y 55 años,Española,Profesionales de la publicidad y la comercialización
561,ene-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
564,ene-21,Hombre,Retiro,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
566,ene-21,Hombre,Carabanchel,Entre 46 y 55 años,Extracomunitaria,Ayudantes de cocina
575,ene-21,Hombre,Centro,Entre 46 y 55 años,Extracomunitaria,Vendedores en tiendas y almacenes
582,ene-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Peluqueros
585,ene-21,Hombre,Otro Municipio,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
588,ene-21,Hombre,Arganzuela,Entre 36 y 45 años,Española,Diseñadores gráficos y multimedia
589,ene-21,Hombre,Puente De Vallecas,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
598,ene-21,Mujer,Latina,Entre 56 y 65 años,Española,Auxiliares de enfermería hospitalaria
601,ene-21,Hombre,San Blas,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
604,ene-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
605,ene-21,Mujer,Hortaleza,Menor de 25 años,Española,Vendedores en tiendas y almacenes
606,ene-21,Hombre,Ciudad Lineal,Menor de 25 años,Española,Programadores informáticos
609,ene-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Empleados de contabilidad
611,ene-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
614,ene-21,Hombre,Usera,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
615,ene-21,Mujer,San Blas,Entre 56 y 65 años,Española,Ayudantes de cocina
616,ene-21,Mujer,Usera,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
627,ene-21,Mujer,Moratalaz,Menor de 25 años,Española,Vendedores en tiendas y almacenes
639,ene-21,Mujer,Carabanchel,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
646,ene-21,Mujer,Usera,Entre 26 y 35 años,Española,Peluqueros
649,ene-21,Mujer,Latina,Menor de 25 años,Española,Vendedores en tiendas y almacenes
651,ene-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
656,ene-21,Hombre,Fuencarral-el Pardo,Menor de 25 años,Española,Vendedores en tiendas y almacenes
657,ene-21,Mujer,Villaverde,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
658,ene-21,Mujer,Salamanca,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
659,ene-21,Hombre,Villaverde,Menor de 25 años,Española,Vendedores en tiendas y almacenes
662,ene-21,Hombre,Latina,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
667,ene-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
668,ene-21,Hombre,Puente De Vallecas,Menor de 25 años,Comunitaria,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
