curso_codigo;sie_codigo;especialidad_desc;sector_desc;familia_desc;area_desc;especialidad_desc_1;curso_desc;duracion_formacion;duracion_practicas;especialidad_de_certificado;modalidad;dirigido_a;censo;centro_desc;centro_direccion;centro_cp;centro_telefono;centro_email;centro_municipio
18/8000;CCLL2018/8000;IFCD27;Servicios;Informática  y comunicaciones;Desarrollo;DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT;DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT;200;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8001;CCLL2018/8001;IFCD28;Servicios;Informática  y comunicaciones;Desarrollo;DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D;DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D;300;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8002;CCLL2018/8002;IFCI17;Servicios;Informática  y comunicaciones;Informática;TÉCNICO EN SOFTWARE OFIMÁTICO;TÉCNICO EN SOFTWARE OFIMÁTICO;350;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8003;CCLL2018/8003;IFCT37;Servicios;Informática  y comunicaciones;Sistemas y telemática;HERRAMIENTAS WEB 2.0;HERRAMIENTAS WEB 2.0;100;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8004;CCLL2018/8004;IFCT38;Servicios;Informática  y comunicaciones;Sistemas y telemática;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES;100;0;NO;Presencial;Desempleados;1564;CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO;Calle Salzillo, 04-BIS  ;28932;916853090;btomas@mostolesdesarrollo.es;MOSTOLES
18/8005;CCLL2018/8005;AFDP0109;Servicios;Actividades fisicas y deportivas;Prevención y recuperación;SOCORRISMO EN INSTALACIONES ACUÁTICAS;SOCORRISMO EN INSTALACIONES ACUÁTICAS;290;80;SÍ;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8006;CCLL2018/8006;SANT0208;Servicios;Sanidad;Atención sanitaria;TRANSPORTE SANITARIO;TRANSPORTE SANITARIO;400;160;SÍ;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8007;CCLL2018/8007;SSCB0209;Servicios;Servicios socioculturales y a la comunidad;Actividades culturales y recreativas;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL;150;160;SÍ;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8008;CCLL2018/8008;SSCE01;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS A1;INGLÉS A1;150;0;NO;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
18/8009;CCLL2018/8009;SSCE01;Servicios;Servicios socioculturales y a la comunidad;Formación y educación;INGLÉS A1;INGLÉS A1;150;0;NO;Presencial;Desempleados;23187;CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN;Calle Pintor Velazquez, 68  ;28938;916853090;rramos@empesa.es;MOSTOLES
