,curso_codigo,sector_desc,familia_desc,area_desc,especialidad_desc_1,curso_desc,especialidad_de_certificado,modalidad,dirigido_a,censo,centro_desc,centro_municipio
0,18/8000,Servicios,Informática y comunicaciones,Desarrollo,DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT,DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
1,18/8001,Servicios,Informática y comunicaciones,Desarrollo,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
2,18/8002,Servicios,Informática y comunicaciones,Inform�tica,T�CNICO EN SOFTWARE OFIM�TICO,T�CNICO EN SOFTWARE OFIM�TICO,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
3,18/8003,Servicios,Informática y comunicaciones,Sistemas y telem�tica,HERRAMIENTAS WEB 2.0,HERRAMIENTAS WEB 2.0,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
4,18/8004,Servicios,Informática y comunicaciones,Sistemas y telem�tica,"COMMUNITY MANAGER, HERRAMIENTAS, ANAL�TICA E INFORMES","COMMUNITY MANAGER, HERRAMIENTAS, ANAL�TICA E INFORMES",NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
14,18/8014,Servicios,Informática y comunicaciones,Desarrollo,PROGRAMACI�N ORIENTADA A OBJETOS CON JAVA,PROGRAMACI�N ORIENTADA A OBJETOS CON JAVA,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
15,18/8015,Servicios,Informática y comunicaciones,Desarrollo,DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT,DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
16,18/8016,Servicios,Informática y comunicaciones,Desarrollo,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
17,18/8017,Servicios,Informática y comunicaciones,Sistemas y telem�tica,"COMMUNITY MANAGER, HERRAMIENTAS, ANAL�TICA E INFORMES","COMMUNITY MANAGER, HERRAMIENTAS, ANAL�TICA E INFORMES",NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
18,18/8018,Servicios,Informática y comunicaciones,Sistemas y telem�tica,"COMMUNITY MANAGER, HERRAMIENTAS, ANAL�TICA E INFORMES","COMMUNITY MANAGER, HERRAMIENTAS, ANAL�TICA E INFORMES",NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
19,18/8019,Servicios,Informática y comunicaciones,Sistemas y telem�tica,POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES,POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
20,18/8020,Servicios,Informática y comunicaciones,Sistemas y telem�tica,COMPETENCIAS DIGITALES B�SICAS,COMPETENCIAS DIGITALES B�SICAS,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
21,18/8021,Servicios,Informática y comunicaciones,Sistemas y telem�tica,COMPETENCIAS DIGITALES AVANZADAS,COMPETENCIAS DIGITALES AVANZADAS,NO,Presencial,Desempleados,1564,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO,MOSTOLES
45,18/8045,Servicios,Informática y comunicaciones,Desarrollo,CONFECCI�N Y PUBLICACI�N DE P�GINAS WEB,CONFECCI�N Y PUBLICACI�N DE P�GINAS WEB,S�,Presencial,Desempleados,1139,C.DE FORM. PROFESIONAL,ALCALA DE HENARES
